id,longitude,latitude,date,time
I000,-122.3747182371207,47.59369838078001,2020-01-01,00:38:02
I000,-122.37471821899534,47.593726805143966,2020-01-01,00:38:42
I000,-122.3747175079831,47.59414323842463,2020-01-01,00:43:52
I000,-122.3747182371207,47.59369838078001,2020-01-01,02:13:39
I000,-122.33350285844485,47.67040083251598,2020-01-01,05:37:20
I000,-122.31638671416374,47.61888538834712,2020-01-01,07:39:23
I000,-122.31638586427368,47.61471983382876,2020-01-01,08:16:50
I000,-122.31638923215534,47.61467077255274,2020-01-01,08:20:30
I000,-122.31639071044724,47.61471013714015,2020-01-01,08:24:22
I000,-122.3163900709384,47.61467909249115,2020-01-01,08:26:49
I000,-122.31639035718004,47.61472584809193,2020-01-01,08:27:20
I000,-122.31639059492724,47.614691949721866,2020-01-01,08:31:22
I000,-122.3163907305514,47.61468106532683,2020-01-01,08:32:06
I000,-122.31639070976242,47.614721555369016,2020-01-01,08:33:17
I000,-122.27253111858867,47.64854971464861,2020-01-01,09:37:17
I000,-122.2725314102603,47.64836841187388,2020-01-01,09:37:56
I000,-122.27253143582304,47.64843706001259,2020-01-01,09:38:31
I000,-122.27253171003557,47.64854630059344,2020-01-01,09:39:14
I000,-122.27253268039946,47.64849006701754,2020-01-01,09:43:11
I000,-122.2725324061743,47.64845241685952,2020-01-01,09:44:02
I000,-122.2725313813993,47.64843840423497,2020-01-01,09:45:15
I000,-122.27253299948804,47.64905751502797,2020-01-01,09:48:51
I000,-122.2725329469028,47.64908832419211,2020-01-01,09:53:43
I000,-122.27253320271218,47.64907819258535,2020-01-01,09:55:16
I000,-122.27253354039031,47.64844909747828,2020-01-01,09:56:22
I000,-122.27253433741328,47.64840724468175,2020-01-01,09:59:38
I000,-122.27253465384892,47.649135233865934,2020-01-01,10:01:32
I000,-122.27253394721336,47.64913901906394,2020-01-01,10:06:18
I000,-122.27253589414956,47.64847447422903,2020-01-01,10:09:32
I000,-122.27253607979716,47.64852070838224,2020-01-01,10:11:07
I000,-122.2725361028785,47.64851680493896,2020-01-01,10:11:53
I000,-122.27253555288156,47.64909971075337,2020-01-01,10:15:16
I000,-122.27253551917984,47.64837119295519,2020-01-01,10:19:02
I000,-122.27253640080372,47.64846485528149,2020-01-01,10:33:54
I000,-122.32014707239072,47.56459651000617,2020-01-01,10:55:39
I000,-122.3201477466987,47.56367960407216,2020-01-01,11:00:02
I000,-122.32014723357872,47.56456520916576,2020-01-01,11:03:12
I000,-122.32014704418005,47.56463543003539,2020-01-01,11:04:41
I000,-122.32014432271902,47.5646003238761,2020-01-01,11:10:32
I000,-122.32014423387976,47.56459011141625,2020-01-01,11:11:03
I000,-122.32014754421267,47.56459278694467,2020-01-01,11:19:14
I000,-122.3201468421407,47.563663044291246,2020-01-01,11:21:36
I000,-122.3201455412003,47.56321156939088,2020-01-01,11:37:32
I000,-122.32014511793912,47.563246518405954,2020-01-01,11:57:22
I000,-122.32014639224228,47.563188440657136,2020-01-01,12:06:53
I000,-122.32014700457296,47.56370921977015,2020-01-01,12:07:54
I000,-122.32014713517454,47.56366947582438,2020-01-01,12:08:54
I000,-122.32014712930288,47.563692965578575,2020-01-01,12:09:24
I000,-122.32014734327934,47.56462439839311,2020-01-01,12:13:42
I000,-122.3201472905298,47.56315520335199,2020-01-01,12:19:45
I000,-122.32014674169707,47.563192121926924,2020-01-01,12:21:10
I000,-122.3201450502846,47.56369324252189,2020-01-01,12:27:38
I000,-122.32014538220017,47.56368669043116,2020-01-01,12:29:43
I000,-122.32014538246295,47.56368663564251,2020-01-01,12:30:22
I000,-122.32014482184957,47.56317450153203,2020-01-01,12:34:41
I000,-122.32014607010277,47.56323567749356,2020-01-01,12:36:51
I000,-122.32014624576853,47.56459296083211,2020-01-01,12:42:46
I000,-122.31638798396696,47.61893576695209,2020-01-01,13:41:06
I000,-122.3163888538327,47.61888909476972,2020-01-01,13:42:14
I000,-122.31638877444342,47.61891635709498,2020-01-01,13:45:03
I000,-122.31638842954942,47.61889087114027,2020-01-01,13:52:46
I000,-122.30281852468715,47.60313436532212,2020-01-01,14:10:20
I000,-122.3028186335034,47.603180907205925,2020-01-01,14:10:57
I000,-122.30281842086865,47.60317569533493,2020-01-01,14:11:36
I000,-122.30281838995434,47.60313781992888,2020-01-01,14:12:14
I000,-122.302816894586,47.60329512702919,2020-01-01,14:14:01
I000,-122.29937560438304,47.58552784137221,2020-01-01,14:15:13
I000,-122.29937509208276,47.58546807191935,2020-01-01,14:24:43
I000,-122.29937505731574,47.585472961447145,2020-01-01,14:25:54
I000,-122.29937149732184,47.5863323616302,2020-01-01,14:37:54
I000,-122.29937144252396,47.58630378771417,2020-01-01,14:39:03
I000,-122.29937197224812,47.58634688502946,2020-01-01,14:42:01
I000,-122.29937309744189,47.58633930632181,2020-01-01,14:44:16
I000,-122.29937337748508,47.58628013951324,2020-01-01,14:44:52
I000,-122.29937338316006,47.58628655168552,2020-01-01,14:45:30
I000,-122.2993736295301,47.58554630210048,2020-01-01,15:00:49
I000,-122.3747182371207,47.59369838078001,2020-01-01,15:20:53
I000,-122.29937560438304,47.58552784137221,2020-01-01,15:27:35
I000,-122.29937531892878,47.5863009997072,2020-01-01,15:36:49
I000,-122.3747182371207,47.59369838078001,2020-01-01,15:53:48
I000,-122.37471757735052,47.59374468352296,2020-01-01,15:56:54
I000,-122.37471782055744,47.59374475628893,2020-01-01,16:03:07
I000,-122.30281852468715,47.60313436532212,2020-01-01,16:08:03
I000,-122.3028195907543,47.60289921241313,2020-01-01,16:09:25
